benchmark_id,scenario_id,rep,method,feasibility,seed,m0,m1,n_proxy_total,C_sources,nontransfer_scale,pehe,ate_hat,ate_abs_err,ate_bias,tau_corr,tau_kendall,qini_auc,topk_10_ratio,topk_20_ratio,topk_30_ratio,topk_10_captured,topk_20_captured,calib_slope,calib_intercept,calib_r2,tau_ece,tau_mce,policy_value,policy_regret,policy_value_top20,policy_regret_top20,stage2_lambda,stage2_n_selected,stepb_M_fro_norm,stepb_M_effective_rank,runtime_sec
l1tcl_gold_dim_sweep,b5dbf7449e1c,10,ProposedB_LinearStepB,OracleTargetTreated,1753560114,500,500,5000,10,,0.10582890393784923,-0.09561923732743145,0.028619237327431477,-0.028619237327431477,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,6.780840511743655e-18,-0.06700000000000025,1.0,0.08124816371304708,0.20668343001436146,-0.3658749122211328,0.009514000000000078,-0.3697609122211327,5.551115123125783e-17,0.009099994726029894,93.0,1.9893407249399806,10.0,193.06637239456177
l1tcl_gold_dim_sweep,b5dbf7449e1c,10,ProposedB_SourceDR,FeasibleRestricted,1753560114,500,500,5000,10,,0.044719749518879255,-0.0504811055613325,0.016518894438667477,0.016518894438667477,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,1.064366167448427e-16,-0.06700000000000024,1.0,0.035160131299906854,0.08751009344914651,-0.36239091222113273,0.006030000000000035,-0.3697609122211327,5.551115123125783e-17,0.007706374453394106,87.0,1.989340724939981,10.0,158.96688389778137
l1tcl_gold_dim_sweep,b5dbf7449e1c,10,IPWTransport,FeasibleRestricted,1753560114,500,500,5000,10,,0.1896301927962468,0.04914103150034253,0.11614103150034251,0.11614103150034251,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,4.377990562700239e-17,-0.06700000000000025,1.0,0.154361773263959,0.37608081757495254,-0.39870491222113275,0.04234400000000005,-0.3697609122211327,5.551115123125783e-17,,,,,1.4825999736785889
l1tcl_gold_dim_sweep,b5dbf7449e1c,10,EntropyBalancing,FeasibleRestricted,1753560114,500,500,5000,10,,1.243970620074524,0.43349803695536865,0.5004980369553687,0.5004980369553687,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-9.232177521794306e-18,-0.06700000000000024,1.0,0.9899411415910774,2.499807610364774,-0.39937491222113275,0.04301400000000005,-0.36976091222113266,0.0,,,,,3.0615265369415283
l1tcl_gold_dim_sweep,b5dbf7449e1c,10,OutcomeModelTransport,FeasibleRestricted,1753560114,500,500,5000,10,,0.1921559513008155,0.053478770702242044,0.12047877070224203,0.12047877070224203,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,4.66618281291568e-17,-0.06700000000000023,1.0,0.15662753899100623,0.3803344966323848,-0.3997099122211328,0.04334900000000008,-0.3697609122211328,1.1102230246251565e-16,,,,,0.24946880340576172
l1tcl_gold_dim_sweep,b5dbf7449e1c,10,DRLearner_PooledWithSite,OracleTargetTreated,1753560114,500,500,5000,10,,0.12945669667567405,-0.07865070462808567,0.011650704628085692,-0.011650704628085692,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,1.0797352809625678e-16,-0.06700000000000027,1.0,0.1014710196333111,0.24078923215896403,-0.3747189122211328,0.018358000000000096,-0.3697609122211327,5.551115123125783e-17,,,,,1.0373551845550537
l1tcl_gold_dim_sweep,b5dbf7449e1c,10,DRLearner_PooledNoSite,OracleTargetTreated,1753560114,500,500,5000,10,,0.13028735435374744,-0.07695661134773232,0.009956611347732347,-0.009956611347732347,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,1.03836110178974e-16,-0.06700000000000024,1.0,0.102415845890825,0.24051910259990117,-0.37512091222113275,0.018760000000000054,-0.3697609122211327,5.551115123125783e-17,,,,,0.8630931377410889
l1tcl_gold_dim_sweep,b5dbf7449e1c,13,TargetOnlyDR,OracleTargetTreated,1554668729,500,500,5000,10,,0.23891443793133088,-0.12914986876329115,0.06214986876329118,-0.06214986876329118,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-7.120038127925353e-17,-0.06700000000000021,1.0,0.1828302455921642,0.481999710499006,-0.9277165588084347,0.01862600000000003,-0.9224905588084346,0.0,0.0,0.0,,,26.40241813659668
l1tcl_gold_dim_sweep,b5dbf7449e1c,13,ProxyOnly,FeasibleRestricted,1554668729,500,500,5000,10,,1.0886846447894047,0.9341386292431717,1.0011386292431717,1.0011386292431717,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-1.6049612058511704e-17,-0.06700000000000021,1.0,1.0011386292431719,1.7557622203073928,-0.9752195588084346,0.06612899999999988,-0.9224905588084347,1.1102230246251565e-16,0.0,0.0,,,11.815269470214844
l1tcl_gold_dim_sweep,b5dbf7449e1c,13,AnchorOnly,OracleTargetTreated,1554668729,500,500,5000,10,,0.24104345420736986,-0.12035200035539338,0.053352000355393406,-0.053352000355393406,,,0.0,,,,-0.06699999999999999,-0.06699999999999999,-4.8874494620785624e-17,-0.06700000000000024,1.0,0.17254030130074438,0.5701247181724886,-0.9317365588084346,0.022645999999999944,-0.9224905588084346,0.0,0.0013104991677009143,45.0,,,28.32554006576538
